7, 2, 170, 507
49, 191, 67, 389
205, 1515, 238, 740
31, 3, 246, 672
1551, 648, 1432, 5530
80, 77, 295, 1891
53, 34, 75, 527
66, 6, 164, 609
7, 8, 248, 641
85, 81, 73, 540
79, 89, 227, 1188
229, 211, 413, 1185
0, 10, 122, 817
392, 93, 273, 734
165, 183, 337, 1086
43, 396, 446, 546
119, 109, 460, 2317
297, 821, 193, 536
192, 158, 74, 683
199, 106, 176, 625
151, 49, 170, 891
0, 9, 138, 796
54, 70, 307, 788
167, 228, 378, 928
154, 64, 151, 774
170, 62, 411, 1364
67, 121, 75, 715
166, 81, 172, 839
29, 45, 273, 726
326, 234, 377, 772
293, 126, 186, 691
500, 484, 595, 1810
203, 93, 123, 484
65, 29, 140, 560
98, 53, 123, 918
212, 87, 385, 3066
55, 140, 686, 1736
33, 118, 174, 504
26, 117, 148, 537
161, 269, 491, 916
65, 112, 383, 885
17, 132, 414, 881
87, 513, 686, 2494
14, 38, 189, 508
10, 33, 172, 532
28, 54, 213, 551
66, 173, 129, 477
62, 356, 282, 1200
16, 24, 149, 614
21, 107, 119, 554
255, 426, 218, 429
29, 31, 604, 579
179, 605, 455, 1835
9, 87, 251, 768
10, 50, 401, 757
65, 84, 245, 651
111, 224, 320, 561
13, 55, 352, 624
141, 366, 310, 1449
5, 180, 307, 1591
41, 89, 189, 916
178, 294, 482, 1440
0, 5, 307, 855
21, 128, 145, 420
41, 127, 238, 725
81, 135, 225, 272
38, 168, 297, 627
25, 127, 100, 465
154, 542, 185, 683
13, 41, 149, 513
78, 221, 375, 1306
100, 165, 152, 311
18, 69, 168, 461
20, 82, 155, 526
13, 40, 215, 447
1, 20, 120, 640
8, 53, 167, 595
22, 84, 280, 504
3, 9, 271, 494
79, 113, 114, 583
14, 39, 119, 542
13, 124, 169, 750
1, 1, 274, 436
19, 78, 516, 1188
168, 197, 414, 1156
61, 125, 85, 504
27, 94, 256, 574
29, 48, 155, 542
46, 94, 199, 610
110, 172, 942, 2378
143, 243, 210, 650
1, 5, 149, 558
149, 202, 353, 541
94, 59, 177, 382
172, 548, 608, 1499
223, 270, 175, 652
94, 524, 486, 1722
40, 41, 179, 460
264, 1042, 163, 475
33, 46, 148, 571
8, 0, 129, 582
21, 37, 63, 537
12, 5, 192, 587
3, 94, 98, 526
9, 23, 94, 531
62, 133, 350, 450
30, 97, 231, 692
77, 204, 183, 673
31, 38, 208, 396
8, 28, 170, 842
88, 142, 192, 713
11, 3, 99, 558
58, 44, 182, 521
55, 90, 274, 1053
0, 1, 223, 566
84, 298, 69, 353
20, 92, 642, 1664
65, 134, 201, 389
23, 56, 238, 740
9, 52, 186, 592
3, 9, 498, 823
3, 84, 119, 887
2, 1, 195, 639
70, 23, 303, 936
17, 97, 133, 569
71, 202, 307, 753
43, 74, 229, 904
2, 0, 318, 494
17, 203, 102, 1010
29, 76, 147, 483
16, 125, 148, 652
99, 571, 203, 435
4, 35, 168, 525
4, 2, 268, 549
111, 128, 323, 745
38, 65, 143, 484
59, 161, 153, 433
195, 362, 255, 770
5, 65, 118, 600
9, 14, 250, 532
4, 140, 126, 493
1, 1, 246, 539
221, 1427, 154, 463
9, 4, 293, 456
29, 56, 456, 1301
3, 43, 291, 934
70, 161, 174, 685
15, 0, 166, 615
50, 82, 367, 771
24, 148, 297, 619
183, 209, 166, 912
31, 28, 128, 555
144, 223, 430, 1135
42, 42, 363, 1191
46, 49, 191, 621
48, 1, 120, 572
112, 357, 369, 963
180, 993, 790, 2697
5, 59, 219, 623
17, 171, 61, 396
164, 542, 269, 555
233, 322, 247, 468
31, 121, 547, 1392
54, 126, 585, 2317
1, 16, 133, 494
40, 154, 463, 872
39, 43, 171, 588
46, 99, 87, 482
24, 51, 142, 497
39, 72, 160, 744
159, 383, 295, 1334
31, 52, 160, 422
